working on ServerName,DBName,recovery_model_desc
ServerName,DBName,recovery_model_desc
working on DDMSQL07,dMerger_XML_Utility,FULL
DDMSQL07,dMerger_XML_Utility,FULL
working on DDMSQL07,dPSTG,FULL
DDMSQL07,dPSTG,FULL
working on DDMSQL07,dSTG,FULL
DDMSQL07,dSTG,FULL
working on DDMSQL07,MasterDataServicesDB,FULL
DDMSQL07,MasterDataServicesDB,FULL
working on DDMSQL07,zHubCore,FULL
DDMSQL07,zHubCore,FULL
working on DDMSQL08,model,FULL
DDMSQL08,model,FULL
working on DDMSQL08,ReportServer,FULL
DDMSQL08,ReportServer,FULL
working on DDMSQL08,REPOSITORY,FULL
DDMSQL08,REPOSITORY,FULL
working on DDMSQL08,DNSALIAS,FULL
DDMSQL08,DNSALIAS,FULL
working on DDMSQL08,Environment,FULL
DDMSQL08,Environment,FULL
working on DDMSQL12,deAdvantage,FULL
DDMSQL12,deAdvantage,FULL
working on DDMSQL12,SystemDependencyMappings,FULL
DDMSQL12,SystemDependencyMappings,FULL
working on DDMSQL12,BusinessProcessingPlatform,FULL
DDMSQL12,BusinessProcessingPlatform,FULL
working on DDMSQL12,JournalVoucherApplication_Janderso,FULL
DDMSQL12,JournalVoucherApplication_Janderso,FULL
working on DDMSQL12,udahelper_Janderson,FULL
DDMSQL12,udahelper_Janderson,FULL
working on DDMSQL12,JournalVoucherApplication_SVege,FULL
DDMSQL12,JournalVoucherApplication_SVege,FULL
working on DDMSQL12,JournalVoucherApplication_Dlauer,FULL
DDMSQL12,JournalVoucherApplication_Dlauer,FULL
working on DDMSQL12,JournalVoucherApplication_rkomurav,FULL
DDMSQL12,JournalVoucherApplication_rkomurav,FULL
working on DDMSQL13,dUlysses_Interface,FULL
DDMSQL13,dUlysses_Interface,FULL
working on DDMSQL14,AHP_Working,FULL
DDMSQL14,AHP_Working,FULL
working on DDMSQL14,AHP_final,FULL
DDMSQL14,AHP_final,FULL
working on DDMSQL14,AHP_rescore,FULL
DDMSQL14,AHP_rescore,FULL
working on DDMSQL14,AHP_Working_SEA,FULL
DDMSQL14,AHP_Working_SEA,FULL
working on DDMSQL14,LAS_CR,FULL
DDMSQL14,LAS_CR,FULL
working on DDMSQL14,LASDB2,FULL
DDMSQL14,LASDB2,FULL
working on DDMSSIS01,SSISDB,FULL
DDMSSIS01,SSISDB,FULL
working on DDMSSIS01,dSSIS_Utility,FULL
DDMSSIS01,dSSIS_Utility,FULL
working on DDMSSIS02,model,FULL
DDMSSIS02,model,FULL
working on DDMSSRS04,dReportServer,FULL
DDMSSRS04,dReportServer,FULL
working on SQLTEST2016,model,FULL
SQLTEST2016,model,FULL
working on SQLTEST2016,ReportServer,FULL
SQLTEST2016,ReportServer,FULL
working on SQLTEST2016,SnehaTest,FULL
SQLTEST2016,SnehaTest,FULL
working on SQLTEST2016,tXLRISK,FULL
SQLTEST2016,tXLRISK,FULL
working on SQLTEST2016,tSOXXL,FULL
SQLTEST2016,tSOXXL,FULL
working on SQLTEST2016,dStatementSEA,FULL
SQLTEST2016,dStatementSEA,FULL
working on SQLTEST2016,QRM_Source,FULL
SQLTEST2016,QRM_Source,FULL
working on PADMINSQL01,ReportServer,FULL
PADMINSQL01,ReportServer,FULL
working on PADMINSQL02,ActiveAdministrator,FULL
PADMINSQL02,ActiveAdministrator,FULL
working on PDMSQL05,admiral,FULL
PDMSQL05,admiral,FULL
working on PDMSQL05,pTrackIT,FULL
PDMSQL05,pTrackIT,FULL
working on PDMSQL12,SalesLogix,FULL
PDMSQL12,SalesLogix,FULL
working on PDMSQL12,peAdvantage,FULL
PDMSQL12,peAdvantage,FULL
working on PDMSQL14,AHP_Final,FULL
PDMSQL14,AHP_Final,FULL
working on PDMSQL14,AHP_Rescore,FULL
