working on SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
working on UDMSQL12,Never Ran,sa,Output File Cleanup,Yes,,6e3a9bce-46ad-42e6-a84e-60c6a521cae6,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,Output File Cleanup,Yes,,6e3a9bce-46ad-42e6-a84e-60c6a521cae6,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Never Ran,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,,ee29a503-9b73-40f8-8ad7-6664949a724b,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,,ee29a503-9b73-40f8-8ad7-6664949a724b,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Never Ran,sa,CommandLog Cleanup,Yes,,a3f2fec1-0315-4a31-86c3-94b3158e750c,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,CommandLog Cleanup,Yes,,a3f2fec1-0315-4a31-86c3-94b3158e750c,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Failed,DM\svc_dbmaint,Weekly_UserDB_maintenance.Weekly_UserDB_maintenance,Yes,9/18/2017 14:52,04d5b1af-40e8-4a61-8f03-a5920393e412,,6/24/2010 9:23,9/25/2017 11:57,master
UDMSQL12,Failed,DM\svc_dbmaint,Weekly_UserDB_maintenance.Weekly_UserDB_maintenance,Yes,9/18/2017 14:52,04d5b1af-40e8-4a61-8f03-a5920393e412,,6/24/2010 9:23,9/25/2017 11:57,master
working on UDMSQL12,Success,DM\svc_dbmaint,Weekly_UserDB_maintenance.Weekly_UserDB_maintenance,Yes,10/22/2017 3:00,04d5b1af-40e8-4a61-8f03-a5920393e412,,6/24/2010 9:23,9/25/2017 11:57,master
UDMSQL12,Success,DM\svc_dbmaint,Weekly_UserDB_maintenance.Weekly_UserDB_maintenance,Yes,10/22/2017 3:00,04d5b1af-40e8-4a61-8f03-a5920393e412,,6/24/2010 9:23,9/25/2017 11:57,master
working on UDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,Yes,,c692e820-6cbb-4c99-8db3-b68a062e4eec,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,Yes,,c692e820-6cbb-4c99-8db3-b68a062e4eec,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Never Ran,sa,sp_delete_backuphistory,Yes,,459c6436-23d4-4fca-b38e-cfa944de6bf9,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
